Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2014-08-27,20.25,20.2975,20.1075,20.21,18.4102,2183600,0.0,0.0,0.0
2014-08-28,20.0,20.2,19.9425,20.1725,18.376,4418800,0.0,0.0,0.0
2014-08-29,20.2675,20.3425,20.07,20.3325,18.5218,3538400,0.0,0.0,0.0
2014-09-02,20.4275,20.4275,20.0775,20.2925,18.4853,3398800,0.0,0.0,0.0
2014-09-03,20.53,20.5475,20.1925,20.2675,18.4625,5055600,0.0,0.0,0.0
2014-09-04,20.355,20.59,20.0125,20.1525,18.3578,6739200,0.0,0.0,0.0
2014-09-05,20.15,20.465,19.935,20.445,18.6242,3683200,0.0,0.0,0.0
2014-09-08,20.385,20.47,20.1125,20.2975,18.4899,4297200,0.0,0.0,0.0
2014-09-09,20.245,20.2725,19.78,19.9,18.1278,7027600,0.0,0.0,0.0
2014-09-10,19.905,20.16,19.7325,20.1325,18.3396,4145600,0.0,0.0,0.0
2014-09-11,19.87,20.1975,19.835,20.1875,18.3897,3218400,0.0,0.0,0.0
2014-09-12,20.1275,20.1325,19.665,19.8325,18.0663,6794400,0.0,0.0,0.0
2014-09-15,19.8375,19.885,19.6075,19.7875,18.0253,2503200,0.0,0.0,0.0
2014-09-16,19.675,20.3325,19.6475,20.2375,18.4352,6522400,0.0,0.0,0.0
2014-09-17,20.33,20.595,20.0225,20.3075,18.499,6050800,0.0,0.0,0.0
2014-09-18,20.505,20.6475,20.4325,20.6175,18.7814,4058400,0.0,0.0,0.0
2014-09-19,20.8275,20.8975,20.46,20.5825,18.7495,4706400,0.0,0.0,0.0
2014-09-22,20.47,20.4775,19.975,20.0975,18.3077,4564800,0.0,0.0,0.0
2014-09-23,19.88,20.1325,19.745,19.7575,17.998,6526000,0.0,0.0,0.0
2014-09-24,19.775,20.25,19.615,20.2325,18.4307,6843200,0.0,0.0,0.0
2014-09-25,20.05,20.0675,19.2275,19.2425,17.5288,7309200,0.0,0.0,0.0
2014-09-26,19.33,19.8275,19.2625,19.6975,17.9433,6161600,0.0,0.0,0.0
2014-09-29,19.1825,19.68,19.13,19.5775,17.834,4917600,0.0,0.0,0.0
2014-09-30,19.6325,19.8025,19.3075,19.41,17.6814,6744000,0.0,0.0,0.0
2014-10-01,19.325,19.3475,18.51,18.63,16.9709,9438000,0.0,0.0,0.0
2014-10-02,18.5775,18.8375,18.0625,18.6325,16.9732,9985200,0.0,0.0,0.0
2014-10-03,19.0225,19.37,18.845,19.245,17.5311,8934000,0.0,0.0,0.0
2014-10-06,19.495,19.5675,18.98,19.1825,17.4742,8542000,0.0,0.0,0.0
2014-10-07,18.875,19.0125,18.295,18.3,16.6703,7875200,0.0,0.0,0.0
2014-10-08,18.32,19.325,18.04,19.26,17.5448,10558400,0.0,0.0,0.0
2014-10-09,19.1475,19.225,18.0625,18.1,16.4881,12331600,0.0,0.0,0.0
2014-10-10,18.085,18.3575,17.47,17.495,15.937,11327200,0.0,0.0,0.0
2014-10-13,17.4725,17.6475,16.585,16.6125,15.1331,10665600,0.0,0.0,0.0
2014-10-14,16.875,17.25,16.5125,16.7275,15.2378,13162400,0.0,0.0,0.0
2014-10-15,16.0,16.4675,15.15,16.2775,14.8279,27246000,0.0,0.0,0.0
2014-10-16,15.4675,16.64,15.4225,16.28,14.8302,18242000,0.0,0.0,0.0
2014-10-17,16.8425,17.2125,16.66,16.8975,15.3927,14357200,0.0,0.0,0.0
2014-10-20,16.78,17.4025,16.765,17.375,15.8277,8958000,0.0,0.0,0.0
2014-10-21,17.7325,18.43,17.69,18.39,16.7523,10132800,0.0,0.0,0.0
2014-10-22,18.5075,18.635,17.9875,18.01,16.4061,8679600,0.0,0.0,0.0
2014-10-23,18.54,18.98,18.4575,18.6375,16.9777,9526400,0.0,0.0,0.0
2014-10-24,18.72,19.075,18.515,19.035,17.3398,6220800,0.0,0.0,0.0
2014-10-27,18.8525,19.25,18.6525,18.9725,17.2829,7809200,0.0,0.0,0.0
2014-10-28,19.185,19.635,19.15,19.6125,17.8659,9072800,0.0,0.0,0.0
2014-10-29,19.6725,19.8425,19.15,19.5475,17.8067,8112000,0.0,0.0,0.0
2014-10-30,19.37,20.08,19.33,19.9325,18.1574,7333200,0.0,0.0,0.0
2014-10-31,20.6375,20.64,20.3275,20.595,18.7609,8757600,0.0,0.0,0.0
2014-11-03,20.675,20.8275,20.4875,20.62,18.7837,5878800,0.0,0.0,0.0
2014-11-04,20.4725,20.5675,20.1,20.4325,18.6129,6554000,0.0,0.0,0.0
2014-11-05,20.8525,20.87,20.5225,20.795,18.9431,6819600,0.0,0.0,0.0
2014-11-06,20.83,21.0775,20.575,21.05,19.1754,5643200,0.0,0.0,0.0
